empresaID,CNPJ,CNAE,CNAE2,SINDICATO,CIDADE
4801,1111111111111,4754-7/01,9529105,"SINDICATO DOS COMERCIANTES DA TERRA-MÉDIA (União dos Hobbits, Elfos e Anões)",Osasco
4802,2222222222222,4754-7/01,9529105,"SINDICATO DOS VIAJANTES DO TEMPO (88 mph - Doc Brown Foundation)",Santos
5173,3333333333333,4520-0/04,"4520001,4530703,4520003","SINDICATO DOS MECÂNICOS DO MILLENNIUM FALCON (Kessel Run em 12 parsecs)",Guarulhos
6934,4444444444444,9529-1/99,"4751201,4752100,4753900,4754701,4755503,4756300,4757100,4761001,4762800,4763601,4763603,4772500,4774100,4781400,4782201,4782202,4783101,4783102,4789001,4789009,8219901","SINDICATO DOS CAÇADORES DA ARCA PERDIDA (Arqueólogos & Aventureiros S.A.)",Santos
7135,5555555555555,4712-1/00,"4729699,4721102,4721103","SINDICATO DOS RESTAURADORES JURÁSSICOS (Não economizamos no DNA)",São Paulo
7696,6666666666666,4789-0/99,"3312102,3312103,4753900,4789099,7120100,8599604","SINDICATO DOS CONSTRUTORES DA ESTRELA DA MORTE (Império Galáctico Ltd.)",São Paulo
8427,7777777777777,4763-6/01,"4721104,7729201","SINDICATO DOS GUERREIROS JEDI (Conselho do Templo - Yoda's Choice)",São Paulo
10618,8888888888888,2731-7/00,"4321500,3314799,4673700","FEDERAÇÃO DOS GUARDIÕES DA GALÁXIA (Awesome Mix Vol. 1)",São Paulo
11309,9999999999999,8219-9/01,"7420005,4751201,6201501,8211300","SINDICATO DOS MESTRES DO MULTIVERSO (Dr. Strange & Wong Associates)",Iperó
12840,1111112222222,4721-1/04,8211300,"SINDICATO DOS GONDORIANOS UNIDOS (Boromir's Legacy)",Campinas
17481,2222223333333,4789-0/99,"3314710,4322303,8299799,8020001,7112000","SINDICATO DOS DEFENSORES DE WINTERFELL (Winter is Coming Inc.)",Caraguatatuba
17553,4444445555555,4322-3/02,"4669901,4614100,7739099","FEDERAÇÃO DOS VINGADORES (Nick Fury's Initiative)",Caieiras
